item_name,year,indent_level,cpi_u,cpi_w,bls_item_code,bls_series_id_cpi_u_nsa
"Oth Hlth Ins, Retnd-Hosp Room",1990,0,0.01,0.004,SE5846,CUUR0000SE5846
"Oth Hlth Ins, Retnd-Other in Hosp Ser",1990,0,0.01,0.004,SE5847,CUUR0000SE5847
"Oth Hlth Ins, Retnd-Out Hosp Ser",1990,0,0.017,0.007,SE5848,CUUR0000SE5848
Reading Materials,1990,0,0.676,0.591,SE59,CUUR0000SE59
Newspapers,1990,0,0.325,0.301,SE5901,CUUR0000SE5901
"Magazines,Periodicals, and Books",1990,0,0.351,0.29,SE5902,CUUR0000SE5902
Unpriced Items,1990,0,0.0,0.0,SE5909,CUUR0000SE5909
"Sporting Goods, Equipment",1990,0,0.444,0.543,SE60,CUUR0000SE60
Sport Vehicles Including Bicycles,1990,0,0.204,0.316,SE6001,CUUR0000SE6001
Other Sporting Goods,1990,0,0.24,0.227,SE6002,CUUR0000SE6002
"Toys, Hobbies, Other Entertainment",1990,0,0.896,0.964,SE61,CUUR0000SE61
"Toys,Hobbies, & Music Equipment",1990,0,0.408,0.445,SE6101,CUUR0000SE6101
"Photo Supplies, Equipment",1990,0,0.128,0.115,SE6102,CUUR0000SE6102
Pet Expense,1990,0,0.349,0.39,SE6103,CUUR0000SE6103
Unpriced Items,1990,0,0.011,0.014,SE6109,CUUR0000SE6109
Entertainment Services,1990,0,2.3,1.887,SE62,CUUR0000SE62
Club Memberships,1990,0,0.379,0.209,SE6201,CUUR0000SE6201
Fees for Participant Sports Excl Club,1990,0,0.36,0.321,SE6202,CUUR0000SE6202
Admissions,1990,0,0.671,0.573,SE6203,CUUR0000SE6203
Fees for Lssns or Instruction,1990,0,0.222,0.159,SE6204,CUUR0000SE6204
Phtgr Fees/Flm Prc/Pet & Vet Ser/Oth,1990,0,0.647,0.613,SE6205,CUUR0000SE6205
Unpriced Items,1990,0,0.022,0.013,SE6209,CUUR0000SE6209
Tobacco and Smoking Products,1990,0,1.542,2.028,SE63,CUUR0000SE63
Tobacco and Smoking Products,1990,0,1.542,2.028,SE6301,CUUR0000SE6301
Unpriced Items,1990,0,0.0,0.0,SE6309,CUUR0000SE6309
"Toilet Gds,Pers Care Appl",1990,0,0.634,0.651,SE64,CUUR0000SE64
"Oth Tlt Gds, Sm Pcare Appl Incl H & D",1990,0,0.364,0.397,SE6401,CUUR0000SE6401
"Cos,Bath & Nail Prep/Manicure & Eye",1990,0,0.271,0.255,SE6403,CUUR0000SE6403
Personal Care Services,1990,0,0.559,0.496,SE65,CUUR0000SE65
Beauty Parlor Svc-Females,1990,0,0.447,0.393,SE6501,CUUR0000SE6501
"Haircts,Oth Brbr Svc-Male",1990,0,0.112,0.103,SE6502,CUUR0000SE6502
Unpriced Items,1990,0,0.0,0.0,SE6509,CUUR0000SE6509
School Books and Supplies,1990,0,0.237,0.204,SE66,CUUR0000SE66
"School Books,Supp-College",1990,0,0.166,0.133,SE6601,CUUR0000SE6601
"Elem/High Schl Books,Supp",1990,0,0.058,0.059,SE6602,CUUR0000SE6602
Unpriced Items,1990,0,0.012,0.013,SE6609,CUUR0000SE6609
"Tuition,Other School Fees",1990,0,2.194,1.858,SE67,CUUR0000SE67
College Tuition,1990,0,1.232,0.916,SE6701,CUUR0000SE6701
"Elem,High School Tuition",1990,0,0.401,0.321,SE6702,CUUR0000SE6702
Day Care & Nursery School,1990,0,0.339,0.411,SE6703,CUUR0000SE6703
"Tuition for Tech, Business & Oth Sch",1990,0,0.133,0.135,SE6704,CUUR0000SE6704
Unpriced Items,1990,0,0.089,0.076,SE6709,CUUR0000SE6709
Personal Expenses,1990,0,1.201,1.079,SE68,CUUR0000SE68
Legal Service Fees,1990,0,0.445,0.377,SE6801,CUUR0000SE6801
Personal Financial Services,1990,0,0.32,0.264,SE6802,CUUR0000SE6802
Funeral Expenses,1990,0,0.34,0.348,SE6803,CUUR0000SE6803
Unpriced Items,1990,0,0.095,0.089,SE6809,CUUR0000SE6809
Information Processing Equipment,1990,0,0.146,0.109,SE69,CUUR0000SE69
Information Processing Equipment,1990,0,0.146,0.109,SE6901,CUUR0000SE6901
Commodities,1991,0,44.487,48.484,SAC,CUUR0000SAC
Energy Commodities,1991,0,3.723,4.451,SACE,CUUR0000SACE
Commodities less Food,1991,0,28.48,30.674,SACL1,CUUR0000SACL1
Commodities less Food and Energy,1991,0,24.757,26.222,SACL1E,CUUR0000SACL1E
"Commodities less Food, Energy, & UCR",1991,0,23.622,24.182,SACL1E4,CUUR0000SACL1E4
Commodities less Food & Beverages,1991,0,26.86,28.937,SACL11,CUUR0000SACL11
Durables,1991,0,10.636,11.642,SAD,CUUR0000SAD
Nondurables,1991,0,33.851,36.842,SAN,CUUR0000SAN
Nondurables less Food,1991,0,17.844,19.031,SANL1,CUUR0000SANL1
Nondurables less Food and Beverages,1991,0,16.224,17.295,SANL11,CUUR0000SANL11
"Nondurables less Food, Bvrgs, Apparel",1991,0,10.689,11.729,SANL113,CUUR0000SANL113
Nondurables less Food and Apparel,1991,0,12.31,13.465,SANL13,CUUR0000SANL13
Domestically Produced Farm Foods,1991,0,8.746,9.914,SAN1D,CUUR0000SAN1D
Selected Beef Cuts,1991,0,0.705,0.869,SAN1S,CUUR0000SAN1S
Services,1991,0,55.513,51.516,SAS,CUUR0000SAS
Services less Energy,1991,0,51.876,47.75,SASLE,CUUR0000SASLE
Services less Rent of Shelter,1991,0,28.241,26.475,SASL2RS,CUUR0000SASL2RS
Services less Medical Care,1991,0,50.08,46.876,SASL5,CUUR0000SASL5
SAS2LSRS HOUSEHOLD SER LESS RENT OF SHELTER,1991,0,8.915,8.756,,
Rent of Shelter,1991,0,27.273,25.041,SAS2RS,CUUR0000SAS2RS
"Housekeeping, Home Maintenance Ser",1991,0,1.595,1.237,SAS22,CUUR0000SAS22
Utilities and Public Transportation,1991,0,8.397,8.309,SAS24,CUUR0000SAS24
Other Services,1991,0,7.027,6.028,SAS367,CUUR0000SAS367
Transportation Services,1991,0,6.864,7.051,SAS4,CUUR0000SAS4
Medical Care Services less Health Ins,1991,0,5.16,4.443,SAS5L58,CUUR0000SAS5L58
All Items,1991,0,100.0,100.0,SA0,CUUR0000SA0
Energy,1991,0,7.361,8.217,SA0E,CUUR0000SA0E
All Items less Energy,1991,0,92.639,91.783,SA0LE,CUUR0000SA0LE
All Items less Food,1991,0,83.993,82.189,SA0L1,CUUR0000SA0L1
All Items less Food and Energy,1991,0,76.633,73.972,SA0L1E,CUUR0000SA0L1E
All Items less Food and Shelter,1991,0,56.099,56.597,SA0L12,CUUR0000SA0L12
"All Items less Food,Shel,And Energy",1991,0,48.739,48.38,SA0L12E,CUUR0000SA0L12E
"SA0L12E4 ALL ITEMS LESS FOOD,SHEL,ENRGY & UCR",1991,0,47.603,46.339,,
All Items less Shelter,1991,0,72.106,74.407,SA0L2,CUUR0000SA0L2
All Items less Homeowners' Costs,1991,0,80.317,82.725,,
All Items less Medical Care,1991,0,93.311,94.326,SA0L5,CUUR0000SA0L5
Food and Beverages,1991,0,17.627,19.547,SAF,CUUR0000SAF
Food,1991,0,16.007,17.811,SAF1,CUUR0000SAF1
Food At Home,1991,0,9.921,11.244,SAF11,CUUR0000SAF11
Cereals and Bakery Products,1991,0,1.426,1.625,SAF111,CUUR0000SAF111
"Meats, Poultry, Fish and Eggs",1991,0,3.03,3.559,SAF112,CUUR0000SAF112
"Meats, Poultry, and Fish",1991,0,2.851,3.35,SAF1121,CUUR0000SAF1121
SA111211 MEATS,1991,0,2.05,2.47,,
Dairy Products,1991,0,1.229,1.363,SEFJ,CUUR0000SEFJ
Other Food At Home,1991,0,2.382,2.738,SAF115,CUUR0000SAF115
Housing,1991,0,41.544,39.078,SAH,CUUR0000SAH
Shelter,1991,0,27.894,25.593,SAH1,CUUR0000SAH1
Renters' Costs,1991,0,8.003,8.115,SA211,CUUR0000SA211
Other Renters' Costs,1991,0,2.168,1.437,SA2112,CUUR0000SA2112
Maintenance and Repairs,1991,0,0.208,0.202,SA213,CUUR0000SA213
Household Fuels and Other Utilities,1991,0,7.327,7.553,SAH2,CUUR0000SAH2
Household Fuels,1991,0,4.057,4.149,SAH21,CUUR0000SAH21
Household Furnishings & Operation,1991,0,6.323,5.932,SAH3,CUUR0000SAH3
Housefurnishings,1991,0,3.699,3.615,SAH31,CUUR0000SAH31
Appliances & Electronic Equipment,1991,0,0.969,1.016,SA2313,CUUR0000SA2313
Apparel and Upkeep,1991,0,6.097,6.092,SAA,CUUR0000SAA
Apparel Commodities,1991,0,5.535,5.566,,
Apparel Commodities less Footwear,1991,0,4.735,4.682,SA311,CUUR0000SA311
Men's and Boy's Apparel,1991,0,1.451,1.445,SAA1,CUUR0000SAA1
Women's and Girl's Apparel,1991,0,2.517,2.452,SAA2,CUUR0000SAA2
Other Apparel Commodities,1991,0,0.55,0.502,SA3114,CUUR0000SA3114
Transportation,1991,0,17.013,18.939,SAT,CUUR0000SAT
Private Transportation,1991,0,15.523,17.8,SAT1,CUUR0000SAT1
Other Private Transportation,1991,0,4.533,5.173,SA415,CUUR0000SA415
Other Private Trans. Commodities,1991,0,0.678,0.856,SA4151,CUUR0000SA4151
Oth Private Trans. Services,1991,0,3.855,4.317,SA4152,CUUR0000SA4152
Medical Care,1991,0,6.689,5.674,SAM,CUUR0000SAM
Medical Care less Health Insurance,1991,0,6.415,5.477,SA5L58,CUUR0000SA5L58
Medical Care Commodities,1991,0,1.256,1.034,SAM1,CUUR0000SAM1
Medical Care Services,1991,0,5.433,4.64,SAM2,CUUR0000SAM2
Entertainment,1991,0,4.357,4.027,SAR,CUUR0000SAR
Entertainment Commodities,1991,0,2.026,2.11,,
Other Goods and Services,1991,0,6.674,6.643,SAG,CUUR0000SAG
Personal Care,1991,0,1.187,1.146,SA712,CUUR0000SA712
Personal and Educational Expenses,1991,0,3.822,3.302,SA713,CUUR0000SA713
Personal and Educational Services,1991,0,3.579,3.091,SA7132,CUUR0000SA7132
Cereals and Cereal Products,1991,0,0.461,0.533,SE01,CUUR0000SE01
"Flour,Prep Flour Mixes",1991,0,0.072,0.085,SE0101,CUUR0000SE0101
Cereal,1991,0,0.288,0.331,SE0102,CUUR0000SE0102
"Rice,Pasta,Cornmeal",1991,0,0.1,0.117,SE0103,CUUR0000SE0103
Bakery Products,1991,0,0.965,1.092,SE02,CUUR0000SE02
White Bread,1991,0,0.229,0.283,SE0201,CUUR0000SE0201
Fresh Oth Breads/Bisc/Rolls/Muffins,1991,0,0.217,0.227,SE0202,CUUR0000SE0202
"Cookies, Fresh Cakes & Cupcakes",1991,0,0.25,0.295,SE0204,CUUR0000SE0204
Other Bakery Products,1991,0,0.269,0.287,SE0206,CUUR0000SE0206
Beef and Veal,1991,0,1.05,1.261,SE03,CUUR0000SE03
Ground Beef Exclude Canned,1991,0,0.37,0.461,SE0301,CUUR0000SE0301
Chuck Roast,1991,0,0.093,0.109,SE0302,CUUR0000SE0302
Round Roast,1991,0,0.055,0.063,SE0303,CUUR0000SE0303
Other Beef and Veal,1991,0,0.365,0.415,SE0304,CUUR0000SE0304
Round Steak,1991,0,0.089,0.116,SE0305,CUUR0000SE0305
Sirloin Steak,1991,0,0.078,0.097,SE0306,CUUR0000SE0306
Pork,1991,0,0.585,0.716,SE04,CUUR0000SE04
Bacon,1991,0,0.089,0.106,SE0401,CUUR0000SE0401
Pork Chops,1991,0,0.145,0.181,SE0402,CUUR0000SE0402
Ham,1991,0,0.143,0.175,SE0403,CUUR0000SE0403
Other Pork Incl Sausage,1991,0,0.207,0.254,SE0404,CUUR0000SE0404
Other Meats,1991,0,0.415,0.494,SE05,CUUR0000SE05
Other Meats,1991,0,0.415,0.494,SE0501,CUUR0000SE0501
Poultry,1991,0,0.431,0.481,SE06,CUUR0000SE06
Fresh Whole Chicken,1991,0,0.141,0.168,SE0601,CUUR0000SE0601
Fresh/Frozen Chicken Parts,1991,0,0.21,0.229,SE0602,CUUR0000SE0602
Other Poultry,1991,0,0.08,0.085,SE0603,CUUR0000SE0603
Fish and Seafood,1991,0,0.371,0.399,SE07,CUUR0000SE07
"Canned Fish,Seafood",1991,0,0.077,0.085,SE0701,CUUR0000SE0701
"Fresh/Frozen Fish,Seafood",1991,0,0.294,0.314,SE0702,CUUR0000SE0702
Eggs,1991,0,0.179,0.21,SE08,CUUR0000SE08
Eggs,1991,0,0.179,0.21,SE0801,CUUR0000SE0801
Fresh Milk and Cream,1991,0,0.608,0.713,SE09,CUUR0000SE09
Fresh Whole Milk,1991,0,0.355,0.442,SE0901,CUUR0000SE0901
Other Fresh Milk and Cream,1991,0,0.253,0.271,SE0902,CUUR0000SE0902
Processed Dairy Products,1991,0,0.621,0.65,SE10,CUUR0000SE10
Other Dairy Products Incl Butter,1991,0,0.102,0.106,SE1001,CUUR0000SE1001
Cheese,1991,0,0.361,0.372,SE1002,CUUR0000SE1002
"Ice Cream,Related Prod",1991,0,0.158,0.171,SE1004,CUUR0000SE1004
Fresh Fruits,1991,0,0.682,0.713,SE11,CUUR0000SE11
Apples,1991,0,0.119,0.13,SE1101,CUUR0000SE1101
Bananas,1991,0,0.066,0.07,SE1102,CUUR0000SE1102
Oranges Including Tangerines,1991,0,0.097,0.118,SE1103,CUUR0000SE1103
Other Fresh Fruits,1991,0,0.4,0.394,SE1104,CUUR0000SE1104
Potatoes,1991,0,0.087,0.097,SE1201,CUUR0000SE1201
Lettuce,1991,0,0.07,0.074,SE1202,CUUR0000SE1202
Tomatoes,1991,0,0.066,0.077,SE1203,CUUR0000SE1203
Processed Fruits,1991,0,0.362,0.365,SE13,CUUR0000SE13
"Fruit Juices, & Frozen Fruit",1991,0,0.284,0.291,SE1301,CUUR0000SE1301
Canned and Dried Fruits,1991,0,0.078,0.074,SE1303,CUUR0000SE1303
Sugar and Sweets,1991,0,0.344,0.387,SE15,CUUR0000SE15
Sweets Including Candy,1991,0,0.256,0.277,SE1501,CUUR0000SE1501
Sugar and Artificial Sweetners,1991,0,0.088,0.11,SE1502,CUUR0000SE1502
Fats and Oils,1991,0,0.26,0.298,SE16,CUUR0000SE16
Fats and Oils,1991,0,0.26,0.298,SE1601,CUUR0000SE1601
Nonalcoholic Beverages,1991,0,0.739,0.861,SE17,CUUR0000SE17
Carbonated Drinks,1991,0,0.393,0.484,SE1701,CUUR0000SE1701
Coffee,1991,0,0.201,0.212,SE1703,CUUR0000SE1703
Oth Noncarbonated Drinks,1991,0,0.145,0.165,SE1705,CUUR0000SE1705
Other Prepared Foods,1991,0,1.039,1.192,SE18,CUUR0000SE18
Canned Packaged Soup,1991,0,0.088,0.097,SE1801,CUUR0000SE1801
Frozen Prepared Foods,1991,0,0.183,0.203,SE1802,CUUR0000SE1802
Snacks,1991,0,0.205,0.233,SE1803,CUUR0000SE1803
Seasngs/Condiments/Sauces/Gravies,1991,0,0.27,0.306,SE1804,CUUR0000SE1804
Misc. Prepared Foods Incl. Baby Food,1991,0,0.293,0.352,SE1806,CUUR0000SE1806
Food Away From Home,1991,0,6.085,6.567,SE19,CUUR0000SE19
Lunch,1991,0,2.154,2.445,SE1901,CUUR0000SE1901
Dinner,1991,0,2.587,2.675,SE1902,CUUR0000SE1902
Other Meals and Snacks,1991,0,1.028,1.22,SE1903,CUUR0000SE1903
Unpriced Items,1991,0,0.317,0.227,SE1909,CUUR0000SE1909
Alcoholic Beverages,1991,0,1.621,1.737,SE20,CUUR0000SE20
Alcoholic Beverages At Home,1991,0,0.882,0.968,SE200A,CUUR0000SE200A
Beer and Ale At Home,1991,0,0.457,0.574,SE2001,CUUR0000SE2001
Distilled Spirits At Home,1991,0,0.225,0.214,SE2002,CUUR0000SE2002
Wine At Home,1991,0,0.199,0.18,SE2003,CUUR0000SE2003
Alcoholic Bev Away From Home,1991,0,0.739,0.768,SE2005,CUUR0000SE2005
Rent-Renter Occupied,1991,0,7.97,8.088,SE21,CUUR0000SE21
Rent of Dwelling,1991,0,5.835,6.678,SE2101,CUUR0000SE2101
Lodging While Out of Town,1991,0,1.923,1.276,SE2102,CUUR0000SE2102
Lodging While At School,1991,0,0.211,0.134,SE2103,CUUR0000SE2103
Homeowners' Costs,1991,0,19.683,17.275,SE22,CUUR0000SE22
Owners' Equivalent Rent,1991,0,19.303,16.953,SE2201,CUUR0000SE2201
Household Insurance,1991,0,0.38,0.322,SE2202,CUUR0000SE2202
Maintenance and Repair Services,1991,0,0.125,0.109,SE23,CUUR0000SE23
Maintenance and Repair Services,1991,0,0.125,0.109,SE2301,CUUR0000SE2301
Maintenance and Repair Commod,1991,0,0.083,0.093,SE24,CUUR0000SE24
"Materials, Supp & Equip for Hm Reps",1991,0,0.037,0.041,SE2401,CUUR0000SE2401
Other Maintenance & Repair Commod,1991,0,0.046,0.052,SE2404,CUUR0000SE2404
Fuel Oil & Oth Hous. Fuel Com,1991,0,0.419,0.383,SE25,CUUR0000SE25
Fuel Oil,1991,0,0.292,0.251,SE2501,CUUR0000SE2501
Other Household Fuel Commod,1991,0,0.127,0.132,SE2502,CUUR0000SE2502
Gas (Piped) and Electricity,1991,0,3.638,3.766,SE26,CUUR0000SE26
Electricity,1991,0,2.52,2.589,SE2601,CUUR0000SE2601
Utility (Piped) Gas,1991,0,1.118,1.177,SE2602,CUUR0000SE2602
Other Util and Public Services,1991,0,3.27,3.403,SE27,CUUR0000SE27
Telephone Services,1991,0,1.821,1.849,SE270A,CUUR0000SE270A
Other Util and Public Ser Excl Tele,1991,0,1.449,1.554,SE270B,CUUR0000SE270B
Telephone- Main Statn Serv,1991,0,1.235,1.259,SE2701,CUUR0000SE2701
Water/Sewerage Maintenance,1991,0,0.722,0.746,SE2702,CUUR0000SE2702
"Community Antenna,Cable Tv",1991,0,0.526,0.608,SE2703,CUUR0000SE2703
Garbage/Trash Collection,1991,0,0.202,0.2,SE2704,CUUR0000SE2704
Tele.Interstate Toll Call,1991,0,0.324,0.323,SE2705,CUUR0000SE2705
Tele.Intrastate Toll Call,1991,0,0.261,0.266,SE2706,CUUR0000SE2706
Textile Housefurnishings,1991,0,0.376,0.354,SE28,CUUR0000SE28
Textile Housefurnishings,1991,0,0.376,0.354,SE2801,CUUR0000SE2801
Furniture and Bedding,1991,0,1.109,1.079,SE29,CUUR0000SE29
Bedroom Furniture,1991,0,0.361,0.402,SE2901,CUUR0000SE2901
Sofas,1991,0,0.219,0.21,SE2902,CUUR0000SE2902
Other Furniture,1991,0,0.346,0.294,SE2904,CUUR0000SE2904
Major Household Appliances,1991,0,0.311,0.343,SE30,CUUR0000SE30
"Refrigerator, Home Freezer",1991,0,0.092,0.101,SE3001,CUUR0000SE3001
Laundry Equipment,1991,0,0.1,0.116,SE3002,CUUR0000SE3002
Stoves/Ovens/Dshwhrs/Air Conds,1991,0,0.119,0.125,SE3003,CUUR0000SE3003
Tv and Sound Equipment,1991,0,0.522,0.571,SE31,CUUR0000SE31
Television,1991,0,0.181,0.205,SE3101,CUUR0000SE3101
Other Video Equipment,1991,0,0.1,0.103,SE3102,CUUR0000SE3102
Sound Equipment,1991,0,0.241,0.263,SE3103,CUUR0000SE3103
Unpriced Items,1991,0,0.0,0.0,SE3109,CUUR0000SE3109
Other Housefurnishings,1991,0,1.245,1.165,SE32,CUUR0000SE32
"Fl/Wdw Cv,In/Ldy/Cl/Od Eq",1991,0,0.178,0.15,SE3201,CUUR0000SE3201
"Clocks,Lamps, and Decor Items",1991,0,0.249,0.199,SE3202,CUUR0000SE3202
"Tblwr,Srv Pcs,Nonel Ktnwr",1991,0,0.221,0.198,SE3203,CUUR0000SE3203
"Lawn Eq, Power Tools & Oth Hrdw",1991,0,0.19,0.231,SE3204,CUUR0000SE3204
Indoor Plants & Fresh Cut Flowers,1991,0,0.175,0.155,SE3206,CUUR0000SE3206
Unpriced Items,1991,0,0.089,0.08,SE3209,CUUR0000SE3209
Housekeeping Supplies,1991,0,1.154,1.189,SE33,CUUR0000SE33
Laundry & Clning Products Incl Soap,1991,0,0.417,0.481,SE3301,CUUR0000SE3301
Household Paper Prod & Stnry Supplies,1991,0,0.37,0.367,SE3303,CUUR0000SE3303
Misc Household Products,1991,0,0.366,0.341,SE3305,CUUR0000SE3305
Housekeeping Services,1991,0,1.469,1.128,SE34,CUUR0000SE34
Postage,1991,0,0.269,0.262,SE3401,CUUR0000SE3401
Babysitting,1991,0,0.245,0.316,SE3402,CUUR0000SE3402
Domestic Service,1991,0,0.233,0.067,SE3403,CUUR0000SE3403
"Gardening,Oth Home Serv",1991,0,0.38,0.215,SE3404,CUUR0000SE3404
Appliance and Furniture Repair,1991,0,0.175,0.137,SE3406,CUUR0000SE3406
Care of Invalids/Elderly/Convales,1991,0,0.052,0.04,SE3407,CUUR0000SE3407
Unpriced Items,1991,0,0.115,0.09,SE3409,CUUR0000SE3409
Tenants' Insurance,1991,0,0.033,0.027,SE35,CUUR0000SE35
Tenants' Insurance,1991,0,0.033,0.027,SE3501,CUUR0000SE3501
Men's Apparel,1991,0,1.191,1.124,SE36,CUUR0000SE36
"Men's Suits, Spt Cts, Cts & Jckts",1991,0,0.353,0.273,SE3601,CUUR0000SE3601
Men's Furn. & Spec. Clothing,1991,0,0.274,0.263,SE3603,CUUR0000SE3603
Men's Shirts,1991,0,0.305,0.305,SE3604,CUUR0000SE3604
"Men's Dngrees, Jeans, Trsrs",1991,0,0.243,0.264,SE3605,CUUR0000SE3605
Unpriced Items,1991,0,0.016,0.02,SE3609,CUUR0000SE3609
Boys' Apparel,1991,0,0.26,0.321,SE37,CUUR0000SE37
Boys' Apparel,1991,0,0.257,0.318,SE3701,CUUR0000SE3701
Unpriced Items,1991,0,0.002,0.002,SE3709,CUUR0000SE3709
Women's Apparel,1991,0,2.137,2.016,SE38,CUUR0000SE38
Women's Coats and Jackets,1991,0,0.202,0.162,SE3801,CUUR0000SE3801
Women's Dresses,1991,0,0.359,0.359,SE3802,CUUR0000SE3802
Women's Separates & Sportswear,1991,0,1.014,0.996,SE3803,CUUR0000SE3803
"Women's Nghtwr,Undwr,Hsry,Accessories",1991,0,0.346,0.349,SE3804,CUUR0000SE3804
Women's Suits,1991,0,0.184,0.121,SE3805,CUUR0000SE3805
Unpriced Items,1991,0,0.031,0.028,SE3809,CUUR0000SE3809
Girls' Apparel,1991,0,0.38,0.436,SE39,CUUR0000SE39
Girls' Apparel,1991,0,0.371,0.426,SE3901,CUUR0000SE3901
Unpriced Items,1991,0,0.009,0.01,SE3909,CUUR0000SE3909
Footwear,1991,0,0.8,0.884,SE40,CUUR0000SE40
Men's Footwear,1991,0,0.258,0.302,SE4001,CUUR0000SE4001
Boys' and Girls' Footwear,1991,0,0.166,0.214,SE4002,CUUR0000SE4002
Women's Footwear,1991,0,0.376,0.368,SE4003,CUUR0000SE4003
"Infants',Toddlers' Apparel",1991,0,0.218,0.283,SE41,CUUR0000SE41
Infants' & Toddlers' Apparel,1991,0,0.197,0.258,SE4101,CUUR0000SE4101
Unpriced Items,1991,0,0.021,0.025,SE4109,CUUR0000SE4109
"Sewing Materials,Notions & Luggage",1991,0,0.096,0.084,SE42,CUUR0000SE42
"Sewing Materials,Notions & Luggage",1991,0,0.096,0.084,SE4201,CUUR0000SE4201
Watches and Jewelry,1991,0,0.454,0.417,SE43,CUUR0000SE43
Watches,1991,0,0.085,0.08,SE4301,CUUR0000SE4301
Jewelry,1991,0,0.369,0.337,SE4302,CUUR0000SE4302
Apparel Services,1991,0,0.562,0.526,SE44,CUUR0000SE44
Other Apparel Services,1991,0,0.268,0.3,SE4401,CUUR0000SE4401
"Oth Lndry,Dry Cl-Apparel",1991,0,0.294,0.226,SE4402,CUUR0000SE4402
New Vehicles,1991,0,5.032,4.924,SE45,CUUR0000SE45
New Cars,1991,0,4.055,3.614,SE4501,CUUR0000SE4501
New Trucks,1991,0,0.895,1.162,SE4502,CUUR0000SE4502
New Motorcycles,1991,0,0.082,0.149,SE4503,CUUR0000SE4503
Used Cars,1991,0,1.135,2.04,SE46,CUUR0000SE46
Used Cars,1991,0,1.036,1.792,SE4601,CUUR0000SE4601
Unpriced Items,1991,0,0.099,0.248,SE4609,CUUR0000SE4609
"Motor Fuel, Motor Oil, Coolant, Et",1991,0,3.365,4.146,SE47,CUUR0000SE47
Motor Fuel,1991,0,3.304,4.068,SE4701,CUUR0000SE4701
"Motor Oil, Coolant, and Others",1991,0,0.061,0.078,SE4702,CUUR0000SE4702
Automobile Parts and Equipment,1991,0,0.616,0.778,SE48,CUUR0000SE48
Tires,1991,0,0.307,0.364,SE4801,CUUR0000SE4801
Other Parts and Equipment,1991,0,0.31,0.414,SE4802,CUUR0000SE4802
Automobile Maintenance and Repair,1991,0,1.52,1.594,SE49,CUUR0000SE49
Automotive Body Work,1991,0,0.158,0.164,SE4901,CUUR0000SE4901
"Auto Drive Train,Front End Rep",1991,0,0.439,0.48,SE4902,CUUR0000SE4902
Auto Maintenance and Servicing,1991,0,0.504,0.484,SE4903,CUUR0000SE4903
Auto Power Plant Repair,1991,0,0.396,0.446,SE4904,CUUR0000SE4904
Unpriced Items,1991,0,0.023,0.021,SE4909,CUUR0000SE4909
Automobile Insurance,1991,0,2.415,2.737,SE50,CUUR0000SE50
Automobile Insurance,1991,0,2.415,2.737,SE5001,CUUR0000SE5001
Automobile Finance Charges,1991,0,0.691,0.871,SE51,CUUR0000SE51
Auto Finance Charges,1991,0,0.569,0.683,SE5101,CUUR0000SE5101
Unpriced Items,1991,0,0.122,0.188,SE5109,CUUR0000SE5109
"Vehicl Rentl,Registr,Othr",1991,0,0.749,0.71,SE52,CUUR0000SE52
"Auto Registr, Licen & Inspec Fees",1991,0,0.379,0.411,SE5201,CUUR0000SE5201
Other Automobile Related Fees,1991,0,0.345,0.282,SE5205,CUUR0000SE5205
Unpriced Items,1991,0,0.026,0.017,SE5209,CUUR0000SE5209
Public Transportation,1991,0,1.49,1.139,SE53,CUUR0000SE53
Airline Fare,1991,0,0.967,0.608,SE5301,CUUR0000SE5301
Other Intercity Public Transportation,1991,0,0.159,0.111,SE5302,CUUR0000SE5302
Intracity Public Transportation,1991,0,0.353,0.411,SE5303,CUUR0000SE5303
Unpriced Items,1991,0,0.011,0.01,SE5309,CUUR0000SE5309
Prescription Drugs,1991,0,0.862,0.692,SE54,CUUR0000SE54
Prescription Drugs,1991,0,0.862,0.692,SE5401,CUUR0000SE5401
"Nonpresc Drugs,Med Suppls",1991,0,0.393,0.342,SE55,CUUR0000SE55
Int & Resp Over-The-Counter Item,1991,0,0.254,0.256,SE5502,CUUR0000SE5502
"Nonprscrpt Med Equip, Supp",1991,0,0.139,0.086,SE5503,CUUR0000SE5503
Professional Medical Services,1991,0,3.213,2.735,SE56,CUUR0000SE56
Physicians' Services,1991,0,1.729,1.476,SE5601,CUUR0000SE5601
Dental Services,1991,0,0.974,0.873,SE5602,CUUR0000SE5602
Eye Care,1991,0,0.34,0.284,SE5603,CUUR0000SE5603
Services By Other Med. Professionals,1991,0,0.17,0.103,SE5604,CUUR0000SE5604
Hospital and Related Services,1991,0,1.947,1.708,SE57,CUUR0000SE57
Hospital Room,1991,0,0.763,0.72,SE5701,CUUR0000SE5701
Other Inpatient Medical Services,1991,0,0.747,0.642,SE5702,CUUR0000SE5702
Outpatient Services,1991,0,0.431,0.342,SE5703,CUUR0000SE5703
Unpriced Items,1991,0,0.005,0.003,SE5709,CUUR0000SE5709
Health Insurance,1991,0,0.274,0.197,SE58,CUUR0000SE58
"Comm Hlth Ins, Retnd Earng",1991,0,0.08,0.081,SE581,CUUR0000SE581
"Comm Hlth Ins, Retnd-Prescrip Drug",1991,0,0.002,0.002,SE5811,CUUR0000SE5811
"Comm Hlth Ins, Retnd-Physicians' Ser",1991,0,0.021,0.021,SE5812,CUUR0000SE5812
